IPN,MPN,Manufacturer,Description,Symbol,Footprint,Pins,Datasheet
CON-0001-0012,22-28-4124,Molex,"0.1” header, 12pos",Connector_Generic:Conn_01x12,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical,12,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf
CON-0002-0001,217182-0001,Molex,USB-C Vertical,g-con:USB_C_Receptacle_2.0_Vert,g-con:usbc-vert-217182-0001,,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/217/217182/2171820001_sd.pdf
CON-0003-0010,NPPN101BFLC-RC,Sullins,2mm socket SMD,Connector_Generic:Conn_01x10,g-con:CONN10X1_NPPN101BFLC-RC_SUL,10,https://drawings-pdf.s3.amazonaws.com/10489.pdf
CON-0004-0001,JXD3-0Z02NL,Pulse Elec,RJ45 Vertical Magnetics LEDs ,g-con:RJ45-1000-mag,g-con:rj-45-vert-mag,,https://www.mouser.com/datasheet/2/447/datasheet_j50x_a_06_2022__jxd3_0z02nl__new__167347-3006847.pdf
CON-0005-0003,31224103,Metz Connect,"Term Block Header, 3.5mm, plugable, x3",Connector:Screw_Terminal_01x03,g-con:RP023-03,3,https://media.metz-connect.com/files/171/Data_sheet_312241.PDF
CON-0005-0004,31224104,Metz Connect,"Term Block Header, 3.5mm, plugable, x4",Connector:Screw_Terminal_01x04,g-con:RP023-04,4,https://media.metz-connect.com/files/171/Data_sheet_312241.PDF
CON-0006-0003,31166103,Metz Connect,"Term Block, 3.5mm, plugable, x3",Connector:Screw_Terminal_01x03,,3,https://media.metz-connect.com/files/171/Data_sheet_311661.PDF
CON-0006-0004,31166104,Metz Connect,"Term Block, 3.5mm, plugable, x4",Connector:Screw_Terminal_01x04,,4,https://media.metz-connect.com/files/171/Data_sheet_311661.PDF
CON-0007-0003,31017103,Metz Connect,"Term Block Header, 5mm, plugable, x3",Connector:Screw_Terminal_01x03,g-con:RP025-03,3,https://media.metz-connect.com/files/171/Data_sheet_310171.PDF
CON-0008-0003,31007103,Metz Connect,"Term Block, 5mm, plugable, x3",Connector:Screw_Terminal_01x03,,3,https://media.metz-connect.com/files/171/Data_sheet_310071.PDF
CON-0009-0002,SWR25X-NRTC-S02-ST-BA,Sullins,"Connector Header Through Hole 2 position 0.100"" (2.54mm)",Connector_Generic:Conn_01x02,g-con:HEADER_2POS-SULLINS_SWR25X,2,https://drawings-pdf.s3.amazonaws.com/11633.pdf
CON-0009-0004,SWR25X-NRTC-S04-ST-BA,Sullins,"Connector Header Through Hole 4 position 0.100"" (2.54mm)",Connector_Generic:Conn_01x04,g-con:HDR_01_SINGLE_FRICTION_LOCK-4_POSITION,4,https://drawings-pdf.s3.amazonaws.com/11633.pdf
CON-0010-0005,651005136421,Wurth Elektronik,USB - mini B USB 2.0 Receptacle Connector 5 Position Through Hole,Connector:USB_OTG,g-con:WURTH_ELEKTRONIK-651005136421,5,https://www.we-online.com/katalog/datasheet/651005136421.pdf
CON-0011-0002,S2B-PH-SM4-TB,JST Sales America Inc.,"Connector Header Surface Mount, Right Angle 2 position 0.079"" (2.00mm)",Connector_Generic:Conn_01x02,g-con:JST_S2B-PH-SM4-TB,2,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf
CON-0012-0002,SWR201-NRTN-S02-SA-WH,Sullins Connector Solutions,"Connector Header Through Hole 2 position 0.079"" (2.00mm)",Connector_Generic:Conn_01x02,g-con:SULLINS_SWR201_STRAIGHT_2POS,2,https://s3.amazonaws.com/catalogspreads-pdf/PAGE132%202mm%20SWR201%20SINGLE%20ROW%20WAFER%20ST%20RA.pdf
CON-0013-0067,10131758-004RLF,Amphenol/FCI,"67 Position Female Connector M.2 (NGFF) Mini Card M keyed Gold 0.020"" (0.50mm) Black",g-con:CONN_M2_M_6MM,g-con:CONN_M2_FEMALE-M-SLOT_6.6MM_CLEARANCE,67,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/10131758.pdf
CON-0014-0002,132134-15,Amphenol RF,"SMA Connector Jack, Female Socket 50 Ohms Surface Mount, Through Hole Solder",g-con:CONN_SMA_COMBO_THRU_SMT,g-con:CONN_SMA_FEMALE_THRU_SMT-AMPHENOL_SMA6251A1,2,https://www.amphenolrf.com/library/download/link/link_id/593002/parent/132134-15/
CON-0015-0009,GSB412137CHR,Amphenol ICC (Commercial Products),"USB-A (USB TYPE-A) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 9 Position Through Hole",Connector:USB3_A,g-con:GSB412137CHR-USB_A_VERTICAL,9,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/924/GSB4_Series_USB_31_rev2.pdf
CON-0016-0008,615008138321,Würth Elektronik,"Jack Modular Connector 8p8c (RJ45, Ethernet) Vertical Shielded Cat5",g-con:CONN_RJ45_VERT_THRU_WITH_LEDS_SHLD,g-con:RJ_45_VERTICAL-WURTH_615008138321,8,https://www.we-online.com/katalog/datasheet/615008138321.pdf
CON-0017-0024,12401610E4#2A,Amphenol ICC (Commercial Products),"USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole",g-con:USB_C_Receptacle,Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A;USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,24,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/12401610e4x2a.pdf
