IPN,MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Datasheet
RES-0001-4751,RC0402FR-0747R5L,Yageo,47.5 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,47.5,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4752,RC0402FR-07475RL,Yageo,475 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,475,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4753,RC0402FR-074K75L,Yageo,4.75K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.75K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4754,RC0402FR-0747K5L,Yageo,47.5K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,47.5K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4755,RC0402FR-07475KL,Yageo,475K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,475K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4756,RC0402FR-074M75L,Yageo,4.75M 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.75M,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4870,RC0402FR-074R87L,Yageo,4.87 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.87,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4871,RC0402FR-0748R7L,Yageo,48.7 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,48.7,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4872,RC0402FR-07487RL,Yageo,487 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,487,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0001-4873,RC0402FR-074K87L,Yageo,4.87K 0402,Device:R_US,Resistor_SMD:R_0402_1005Metric;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,4.87K,50V,63mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
