IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet
CAP-0035-0107,GRM21BC80G107ME15K,Murata Manufacturing Co. Ltd.,100uF 4V 0805 X6S,Device:C,Capacitor_SMD:C_0805:2012Metric,100uF,4V,X6S,20%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BC80G107ME15-01A.pdf
CAP-0037-0102,1808HC102KAT1A,KYOCERA AVX,1000pF 3KV 1808 X7R,Device:C,g-cap:CAP_1808,1000pF,3KV,X7R,10%,https://datasheets.kyocera-avx.com/AVX-HV_MLCC.pdf
CAP-0038-0475,C1005X5R0J475K050BC,TDK Corporation,4.7uF 6.3V 0402 X5R,Device:C,Capacitor_SMD:C_0402_1005Metric,4.7uF,6.3V,X5R,10%,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf
CAP-0039-0475,GRM188R61E475KE11D,Murata Manufacturing Co. Ltd.,4.7uF 6.3V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,4.7uF,6.3V,X5R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61E475KE11-01.pdf
CAP-0040-0226,875105544003,Würth Elektronik,22uF 25V ELEC_,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x5.8,22uF,25V,ALUM_POLY,20%,https://www.we-online.com/components/products/datasheet/875105544003.pdf
CAP-0041-0104,GRM033R61E104KE14J,Murata Electronics,0.1uF 25V 0201 X5R,Device:C,g-cap:C_0201_EIT_Custom_0.254x0.330;C_0201_EIT_Custom_0.254x0.330_with_voiding,0.1uF,25V,X5R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E104KE14-01.pdf
CAP-0041-0224,GRM033R61E224KE01D,Murata Electronics,0.22uF 25V 0201 X5R,Device:C,g-cap:C_0201_EIT_Custom_0.254x0.330;C_0201_EIT_Custom_0.254x0.330_with_voiding,0.22uF,25V,X5R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E224KE01-01A.pdf
CAP-0041-0334,CL03A334KA3NRNC,Samsung Electro-Mechanics,0.33uF 25V 0201 X5R,Device:C,g-cap:C_0201_EIT_Custom_0.254x0.330;C_0201_EIT_Custom_0.254x0.330_with_voiding,0.33uF,25V,X5R,10%,https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05Y105KP6VPN
CAP-0042-0226,GRM188R60J226MEA0D,Murata Electronics,22uF 6.3V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,22uF,6.3V,X5R,20.00%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R60J226MEA0-01.pdf
CAP-0042-0476,GRM188R60J476ME15J,Murata Electronics,47uF 6.3V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,47uF,6.3V,X5R,20.00%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R60J476ME15-01A.pdf
